title,distancefrombeach,description
The Villa Luxury Suites Hotel,650 m from beach,Travel Sustainable property
Ocean Village Club (Adults Only),Beachfront,Travel Sustainable property
Baobab Beach Resort & Spa,Beachfront,Travel Sustainable property
Diani Reef Beach Resort & Spa,Beachfront,Travel Sustainable property
Bahari Dhow Beach Villas,Beachfront,"Featuring free WiFi and air conditioning, Bahari Dhow Beach Villas is located in Diani Beach, 2.1 mi from The Diani Beach Shopping Center. Colobus Conservation is 5.6 mi away."
V-Szameitat Homes,Beachfront,Travel Sustainable property
"Fiorella Beach House, Diani Beach",Beachfront,Travel Sustainable property
Aqua Resort,Beachfront,Travel Sustainable property
Diamonds Leisure Beach & Golf Resort,Beachfront,"Located on 38 acres of beachfront property, Diamonds Leisure Beach & Golf Resort features an 18-hole golf course overlooking the Indian Ocean."
The Sands at Nomad,Beachfront,"Nestled in an indigenous coastal forest with a garden and a palm-fringed beach, The Sands at Nomad is located in Ukunda. It features an outdoor pool, a spa area and restaurants."
Searenity Beach Villa,Beachfront,Travel Sustainable property
Blue Marlin Beach Hotel,Beachfront,Travel Sustainable property
Soul Breeze Beach Resort,Beachfront,"Soul Breeze Beach Resort, located on Diani Beach, features a restaurant and free WiFi. The area is popular for windsurfing, snorkeling and diving."
Upani in Diani,500 m from beach,Travel Sustainable property
Coconut Village Beach Resort,Beachfront,Travel Sustainable property
Pinewood Beach Resort and Spa,Beachfront,"Pinewood Beach Resort and Spa is located on Galu Beach and 6.2 mi away from the Ukunda Airstrip. This boutique hotel features water sport facilities, an outdoor pool and restaurants."
The Zubeida Boutique Resort,Beachfront,"Located in Diani Beach, a 2-minute walk from Diani Beach, The Zubeida Boutique Resort provides accommodations with a garden, free private parking, a terrace and a restaurant."
Aestus Villas Resort,400 m from beach,Travel Sustainable property
Flametree Beach Homes,700 m from beach,"Featuring a swimming pool, a garden, a terrace and views of the pool, Flametree Beach Homes is located in Diani Beach and has accommodations with free WiFi."
Tradewinds Lodge,Beachfront,Travel Sustainable property
Amani Luxury Apartments,750 m from beach,Travel Sustainable property
Flamboyant Diani Beach,Beachfront,Travel Sustainable property
Safari Beach Hotel,Beachfront,Travel Sustainable property
Papillon Lagoon Reef Hotel,Beachfront,"Set on Diani Beach, Papillon Lagoon Reef features an outdoor pool, beach bar and restaurant terrace all overlooking the Indian Ocean."
Eleven Pearl Boutique Hotel & Spa,Beachfront,Travel Sustainable property
